结果生成时间|算法名称|数据集种类|数据集名称|粒度生成比例|约简结果|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-04-07 16:10:01|myAlgorithm5|ori|Iris|[0.025, 0.05, 0.075, 0.1, 0.125]|{2, 3}|0.9800000000000001|1.4471681118011475|[0.9        1.         1.         0.96666667 0.93333333]|[0.9        1.         1.         0.96666667 0.93333333]|[0.9        0.96666667 0.93333333 0.96666667 0.93333333]|0.96|0.96|0.9400000000000001
2023-04-07 16:10:44|myAlgorithm5|ori|Iris|[0.025, 0.05, 0.075, 0.1, 0.125]|{2, 3}|0.9800000000000001|1.4812443256378174|[0.9        1.         1.         0.96666667 0.93333333]|[0.9        1.         1.         0.96666667 0.93333333]|[0.9        0.96666667 0.93333333 0.96666667 0.93333333]|0.96|0.96|0.9400000000000001
