结果生成时间|算法名称|数据集种类|数据集名称|粒度生成比例|约简结果|原始属性长度|约简属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-04-10 14:30:08|myAlgorithm5|10noise|BreastTissue|[0.025, 0.05, 0.075, 0.1, 0.125]|{1, 2, 4, 5, 8}|9|5|0.749056603773585|4.389086008071899|[0.81818182 0.61904762 0.57142857 0.61904762 0.47619048]|[0.68181818 0.57142857 0.47619048 0.52380952 0.42857143]|[0.72727273 0.57142857 0.61904762 0.61904762 0.47619048]|0.6207792207792209|0.5363636363636364|0.6025974025974026
2023-04-10 14:30:24|myAlgorithm5|10noise|BreastTissue|[0.025, 0.05, 0.075, 0.1, 0.125]|{1, 2, 4, 5, 8}|9|5|0.749056603773585|4.290362119674683|[0.81818182 0.61904762 0.57142857 0.61904762 0.47619048]|[0.68181818 0.57142857 0.47619048 0.52380952 0.42857143]|[0.72727273 0.61904762 0.61904762 0.66666667 0.52380952]|0.6207792207792209|0.5363636363636364|0.6311688311688312
